ts,F3 10k,F4 5k
17242761.0,204.31596,-197.64022
17242861.0,205.00261,-196.61025
17242959.0,205.1552,-197.06801
17243058.0,205.1552,-196.64839
17243156.0,204.39226,-191.00262
17243255.0,204.77373,-191.00262
17243364.0,204.54485,-195.99989
17243473.0,204.23967,-190.39227
17243582.0,203.70561,-195.46583
17243681.0,204.62114,-195.1988
17243780.0,205.61297,-195.42769
17243879.0,134.20156,-1.79291
17243978.0,68.8174,5.07357
17244077.0,47.6839,5.03542
17244176.0,39.52041,8.77384
17244275.0,32.04358,7.66757
17244374.0,20.82833,8.31607
17244474.0,12.89373,7.97275
17244573.0,15.41144,7.85831
17244672.0,12.97002,7.70572
17244771.0,8.85013,7.62942
17244870.0,9.46049,8.08719
17244969.0,8.92643,7.85831
17245068.0,6.48501,7.89645
17245167.0,8.69754,8.04904
17245266.0,7.78201,4.84468
17245365.0,6.40872,5.11171
17245464.0,8.31607,5.18801
17245563.0,8.54495,5.18801
17245663.0,6.71389,4.95913
17245762.0,7.40054,4.92098
17245861.0,7.55313,5.03542
17245960.0,6.33242,4.92098
17246059.0,7.09536,5.64577
17246168.0,7.62942,8.12534
17246277.0,7.32425,5.49319
17246376.0,6.5613,7.85831
17246476.0,7.01907,7.36239
17246574.0,6.71389,7.89645
17246673.0,7.85831,7.9346
17246772.0,7.01907,8.08719
17246871.0,7.70572,7.97275
17246970.0,7.17166,7.82016
17247069.0,6.94278,7.74386
17247168.0,7.09536,7.97275
17247267.0,7.24795,7.55313
17247366.0,7.17166,5.64577
17247465.0,6.86648,5.53133
17247564.0,7.24795,5.64577
17247663.0,7.40054,5.60763
17247768.0,8.31607,7.47684
17247867.0,6.94278,8.01089
17247966.0,7.9346,5.53133
17248065.0,33.49317,-184.78464
17248164.0,93.68932,-178.90998
17248263.0,134.20156,-184.51761
17248415.0,172.88274,-189.05712
17248524.0,187.9127,-190.583
17248625.0,195.54213,-190.46856
17248724.0,200.42496,-187.95085
17248823.0,203.09526,-188.10344
17248922.0,204.77373,-188.25603
17249021.0,206.5285,-189.51488
17249159.0,207.90179,-188.98082
17249258.0,207.8255,-188.86638
17249357.0,208.20697,-189.01897
17249456.0,208.66474,-188.33232
17249577.0,208.74103,-189.09526
17249676.0,208.66474,-188.14159
17249782.0,208.81732,-188.79009
17249871.0,208.81732,-188.44676
17249961.0,209.1225,-189.55303
17250050.0,209.58027,-188.56121
17250139.0,208.28327,-188.82823
17250228.0,208.74103,-187.83641
17250327.0,209.1988,-188.52306
17250426.0,208.13068,-189.55303
17250583.0,208.58844,-190.20153
17250682.0,208.51215,-190.20153
17250782.0,208.13068,-189.89635
17250881.0,208.35956,-189.97265
17250980.0,207.67291,-190.27783
17251079.0,208.74103,-190.54486
17251178.0,208.96991,-190.27783
17251277.0,208.58844,-190.92633
17251376.0,208.35956,-189.47674
17251475.0,208.43585,-189.59118
17251574.0,208.96991,-189.78191
17251725.0,220.18517,-378.572
17251824.0,296.63199,-396.04338
17251923.0,339.81453,-390.24502
17252016.0,365.90716,-388.29952
17252105.0,378.87718,-393.29679
17252195.0,385.81995,-388.29952
17252284.0,395.50932,-391.7709
17252373.0,399.93439,-391.1987
17252472.0,401.68915,-390.05428
17252571.0,403.44392,-390.16872
17252670.0,406.3431,-390.58834
17252825.0,405.58016,-393.29679
17252924.0,406.72457,-393.75455
17253023.0,406.4194,-393.22049
17253122.0,406.3431,-392.80088
17253221.0,406.64828,-392.99161
17253321.0,406.87716,-393.48752
17253420.0,405.65645,-393.22049
17253520.0,406.11422,-393.41123
17253638.0,406.11422,-393.37308
17253737.0,406.64828,-393.29679
17253836.0,406.49569,-391.35129
17253956.0,406.64828,-392.19052
17254094.0,406.26681,-391.99979
17254183.0,406.4194,-394.02158
17254290.0,406.49569,-392.30496
17254379.0,406.3431,-394.25047
17254477.0,406.64828,-394.25047
17254567.0,406.26681,-392.03793
17254656.0,406.72457,-392.15237
17254745.0,407.02975,-393.98344
17254834.0,406.64828,-391.8472
17254923.0,406.4194,-394.36491
17255012.0,406.49569,-391.96164
17255177.0,470.35397,-597.76534
17255276.0,529.25312,-591.0896
17255375.0,560.91523,-589.67815
17255475.0,579.14955,-591.6618
17255573.0,591.28033,-593.53101
17255672.0,596.23946,-594.4084
17255771.0,600.51193,-592.80622
17255870.0,602.03782,-592.04327
17255969.0,603.41112,-592.04327
17256069.0,603.94517,-592.27216
17256168.0,603.94517,-593.60731
17256267.0,604.937,-596.23946
17256366.0,605.08959,-595.81984
17256465.0,604.70812,-595.59096
17256564.0,604.937,-596.16316
17256663.0,604.70812,-596.2776
17256762.0,604.47923,-596.39205
17256861.0,604.70812,-596.65908
17256959.0,604.937,-596.01057
17257059.0,604.63182,-596.04872
17257157.0,605.08959,-593.37842
17257256.0,604.25035,-593.72175
17257356.0,604.63182,-593.45472
17257455.0,604.78441,-593.53101
17257554.0,605.01329,-593.49286
17257653.0,605.01329,-593.30213
17257752.0,604.70812,-593.14954
17257851.0,604.86071,-593.60731
17258000.0,604.78441,-596.65908
17258099.0,605.62365,-597.07869
17258198.0,604.70812,-597.0024
17258297.0,604.63182,-593.18769
17258396.0,604.25035,-593.37842
17258495.0,604.70812,-593.53101
17258594.0,604.32665,-593.22583
17258693.0,604.47923,-593.37842
