ts,F1_f,TGT1_f,F2_f,TGT2_f,REF_f
757.9998970031738,,,,,
2618.99995803833,,,,,
3621.000051498413,,,,,
4621.999979019165,,,,,
5622.999906539917,,,,,
6623.999834060669,,,,,
7625.0,,,,,
8625.999927520752,,,,,
9626.999855041504,,,,,
10628.000020980837,,,,,
11628.999948501589,0.0,3458.0,3711.8135952380953,4226.0,3842.0
12629.99987602234,0.0,3458.0,3711.757285714286,4226.0,3842.0
13631.00004196167,0.0,3458.0,3711.7772666666665,4226.0,3842.0
14631.999969482422,0.0,3458.0,3711.7954333333337,4226.0,3842.0
15632.999897003174,0.0,3458.0,3711.844480952381,4226.0,3842.0
16634.000062942505,0.0,3458.0,3711.8190476190475,4226.0,3842.0
17634.999990463257,0.0,3458.0,3711.8099666666662,4226.0,3842.0
18635.99991798401,0.0,3458.0,3711.7718238095235,4226.0,3842.0
19636.99984550476,0.0,3458.0,3711.760923809524,4226.0,3842.0
20638.00001144409,0.0,3458.0,3711.780904761905,4226.0,3842.0
21638.999938964844,0.0,3458.0,3711.786357142857,4226.0,3842.0
22639.9998664856,0.0,3458.0,3711.7718238095235,4226.0,3842.0
23641.000032424927,0.0,3458.0,3711.8426714285715,4226.0,3842.0
24641.99995994568,0.0,3458.0,3711.864466666667,4226.0,3842.0
25642.99988746643,0.0,3458.0,3711.844480952381,4226.0,3842.0
26644.00005340576,0.0,3458.0,3711.768185714286,4226.0,3842.0
27644.999980926517,0.0,3458.0,3711.7590999999998,4226.0,3842.0
28645.999908447266,0.0,3458.0,3711.693704761905,4226.0,3842.0
29646.999835968018,0.0,3458.0,3711.6264952380957,4226.0,3842.0
30648.00000190735,0.0,3458.0,3711.539304761905,4226.0,3842.0
31648.9999294281,0.0,3458.0,3711.532038095238,4226.0,3842.0
32649.999856948853,0.0,3458.0,3711.5556523809523,4226.0,3842.0
33651.00002288818,0.0,3458.0,3711.584714285714,4226.0,3842.0
34651.999950408936,0.0,3458.0,3711.624676190476,4226.0,3842.0
35652.99987792969,0.0,3458.0,3711.635576190476,4226.0,3842.0
36654.00004386902,0.0,3458.0,3711.602876190476,4226.0,3842.0
37654.99997138977,0.0,3458.0,3711.7264000000005,4226.0,3842.0
38655.99989891052,0.0,3458.0,3711.775442857143,4226.0,3842.0
39657.00006484985,0.0,3458.0,3711.7808904761905,4226.0,3842.0
40657.999992370605,0.0,3458.0,3711.7645380952385,4226.0,3842.0
41658.99991989136,0.0,3458.0,3711.7245761904755,4226.0,3842.0
42659.99984741211,0.0,3458.0,3711.7027761904765,4226.0,3842.0
43661.00001335144,0.0,3458.0,3711.7245761904765,4226.0,3842.0
44661.99994087219,0.0,3458.0,3711.6537285714285,4226.0,3842.0
45662.999868392944,0.0,3458.0,3711.668261904762,4226.0,3842.0
